status	key	command
Conversion	VirtualLeft	SegmentWidthShrink
Conversion	Shift Option l	SegmentWidthExpand
Conversion	Shift Right	SegmentWidthExpand
Conversion	VirtualRight	SegmentWidthExpand
Composition	Henkan	Convert
Composition	Shift Space	Convert
Composition	Space	Convert
Suggestion	Down	PredictAndConvert
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Composition	ASCII	InsertCharacter
Composition	Hankaku/Zenkaku	IMEOff
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Hankaku/Zenkaku	IMEOff
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Eisu	IMEOn
DirectInput	F13	IMEOn
DirectInput	Hankaku/Zenkaku	IMEOn
DirectInput	Hiragana	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	Katakana	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Hankaku/Zenkaku	IMEOff
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
